Barcode,Cluster
70447_1,Neurons_2
391774_1,Cnidocytes_3
776367_1,Neurons_2
397491_1,Progenitors_1
125949_1,Neurons_2
22783_1,Cnidocytes_1
554333_1,Neurons_2
428963_1,Cnidocytes_3
412112_1,Progenitors_1
646995_1,Cnidocytes_1
265008_1,Neurons_2
760552_1,Progenitors_2
767130_1,Digestive_filaments
343137_1,Neurons_2
535841_1,Progenitors_1
625579_1,Cnidocytes_1
769058_1,Cnidocytes_1
798272_1,Cnidocytes_1
580419_1,Calicoblasts
598201_1,Immune_cells_2
788821_1,Cnidocytes_1
163595_1,Immune_cells_2
118808_1,Cnidocytes_1
622200_1,Cnidocytes_1
17931_1,Cnidocytes_3
77009_1,Immune_cells_1
430898_1,Gastrodermis_1
816576_1,Digestive_filaments
54301_1,Cnidocytes_3
239072_1,Cnidocytes_3
446158_1,Progenitors_1
310823_1,Progenitors_1
284824_1,Immune_cells_1
40930_1,Progenitors_2
311528_1,Cnidocytes_3
93748_1,Neurons_2
457120_1,Progenitors_1
783296_1,Digestive_filaments
850094_1,Cnidocytes_3
848731_1,Immune_cells_3
235674_1,Alga_hosting_cells_2
568741_1,Progenitors_1
460971_1,Digestive_filaments
437220_1,Cnidocytes_1
541504_1,Progenitors_1
551616_1,Neurons_2
413813_1,Cnidocytes_1
675594_1,Cnidocytes_1
631695_1,Cnidocytes_3
577518_1,Progenitors_1
791143_1,Cnidocytes_1
697384_1,Progenitors_1
329113_1,Muscle_cells
413253_1,Cnidocytes_3
804714_1,Immune_cells_2
81890_1,Cnidocytes_1
683982_1,Cnidocytes_3
770608_1,Progenitors_1
549729_1,Cnidocytes_1
143534_1,Progenitors_1
340035_1,Cnidocytes_3
44181_1,Cnidocytes_1
119957_1,Cnidocytes_2
25171_1,Immune_cells_2
814923_1,Immune_cells_2
358720_1,Neurons_2
367254_1,Digestive_filaments
617453_1,Neurons_2
28012_1,Digestive_filaments
448093_1,Alga_hosting_cells_2
391135_1,Cnidocytes_1
561635_1,Progenitors_1
508161_1,Progenitors_1
576823_1,Neurons_2
695617_1,Cnidocytes_1
138119_1,Cnidocytes_3
609725_1,Cnidocytes_3
576957_1,Digestive_filaments
410335_1,Cnidocytes_3
201335_1,Digestive_filaments
111781_1,Cnidocytes_2
837793_1,Progenitors_1
460715_1,Cnidocytes_2
857273_1,Digestive_filaments
377239_1,Cnidocytes_3
520110_1,Progenitors_1
763039_1,Cnidocytes_1
755486_1,Cnidocytes_1
218499_1,Progenitors_1
883385_1,Cnidocytes_1
814986_1,Progenitors_2
862938_1,Progenitors_1
315917_1,Immune_cells_1
247274_1,Neurons_2
586031_1,Cnidocytes_3
247276_1,Digestive_filaments
20827_1,Cnidocytes_3
513410_1,Cnidocytes_1
834234_1,Immune_cells_2
375304_1,Cnidocytes_1
57804_1,Cnidocytes_1
14604_1,Cnidocytes_2
63121_1,Neurons_1_2
277165_1,Neurons_2
351265_1,Digestive_filaments
764920_1,Alga_hosting_cells_1
214715_1,Progenitors_1
182416_1,Digestive_filaments
44382_1,Cnidocytes_2
10574_1,Digestive_filaments
223779_1,Progenitors_1
680695_1,Digestive_filaments
836579_1,Cnidocytes_1
707073_1,Progenitors_1
201882_1,Progenitors_1
722729_1,Gastrodermis_2
440593_1,Alga_hosting_cells_2
650654_1,Cnidocytes_3
859359_1,Progenitors_1
4021_1,Cnidocytes_1
254961_1,Progenitors_1
804315_1,Digestive_filaments
804137_1,Cnidocytes_1
686831_1,Immune_cells_1
452401_1,Digestive_filaments
766391_1,Progenitors_1
107978_1,Progenitors_1
458120_1,Cnidocytes_2
524619_1,Progenitors_1
22445_1,Digestive_filaments
149892_1,D.filaments_Alga_hosting_cells
680357_1,Immune_cells_1
254681_1,Progenitors_1
283066_1,Neurons_1_2
47949_1,Neurons_1_2
669790_1,Neurons_2
839137_1,Immune_cells_2
40835_1,Cnidocytes_1
625752_1,Progenitors_2
851903_1,Cnidocytes_1
640061_1,Progenitors_2
735427_1,Neurons_2
474647_1,Digestive_filaments
747735_1,Digestive_filaments
658581_1,Progenitors_1
146677_1,Neurons_2
840326_1,Immune_cells_1
67187_1,Immune_cells_2
138115_1,Neurons_2
216787_1,Neurons_1_2
340770_1,Progenitors_2
652487_1,Cnidocytes_2
274461_1,Neurons_2
85666_1,Cnidocytes_1
309789_1,Cnidocytes_1
139335_1,Cnidocytes_1
840937_1,Progenitors_1
553556_1,Cnidocytes_1
848611_1,Progenitors_1
758132_1,Progenitors_2
86070_1,Progenitors_1
243106_1,Progenitors_1
569168_1,Cnidocytes_2
808630_1,Progenitors_1
322466_1,Neurons_2
104737_1,Cnidocytes_3
836795_1,Progenitors_2
154612_1,Cnidocytes_1
657192_1,Cnidocytes_1
205720_1,Cnidocytes_1
