Barcode,Cluster
70447_1,2
391774_1,12
776367_1,2
397491_1,14
125949_1,2
22783_1,5
554333_1,2
428963_1,12
412112_1,14
646995_1,5
265008_1,2
760552_1,18
767130_1,6
343137_1,2
535841_1,14
625579_1,5
769058_1,5
798272_1,5
580419_1,4
598201_1,15
788821_1,5
163595_1,15
118808_1,5
622200_1,5
17931_1,12
77009_1,1
430898_1,3
816576_1,6
54301_1,12
239072_1,12
446158_1,14
310823_1,14
284824_1,1
40930_1,18
311528_1,12
93748_1,2
457120_1,14
783296_1,6
850094_1,12
848731_1,21
235674_1,22
568741_1,14
460971_1,6
437220_1,5
541504_1,14
551616_1,2
413813_1,5
675594_1,5
631695_1,12
577518_1,14
791143_1,5
697384_1,14
329113_1,17
413253_1,12
804714_1,15
81890_1,5
683982_1,12
770608_1,14
549729_1,5
143534_1,14
340035_1,12
44181_1,5
119957_1,9
25171_1,15
814923_1,15
358720_1,2
367254_1,6
617453_1,2
28012_1,6
448093_1,22
391135_1,5
561635_1,14
508161_1,14
576823_1,2
695617_1,5
138119_1,12
609725_1,12
576957_1,6
410335_1,12
201335_1,6
111781_1,9
837793_1,14
460715_1,9
857273_1,6
377239_1,12
520110_1,14
763039_1,5
755486_1,5
218499_1,14
883385_1,5
814986_1,18
862938_1,14
315917_1,1
247274_1,2
586031_1,12
247276_1,6
20827_1,12
513410_1,5
834234_1,15
375304_1,5
57804_1,5
14604_1,9
63121_1,10
277165_1,2
351265_1,6
764920_1,7
214715_1,14
182416_1,6
44382_1,9
10574_1,6
223779_1,14
680695_1,6
836579_1,5
707073_1,14
201882_1,14
722729_1,8
440593_1,22
650654_1,12
859359_1,14
4021_1,5
254961_1,14
804315_1,6
804137_1,5
686831_1,1
452401_1,6
766391_1,14
107978_1,14
458120_1,9
524619_1,14
22445_1,6
149892_1,20
680357_1,1
254681_1,14
283066_1,10
47949_1,10
669790_1,2
839137_1,15
40835_1,5
625752_1,18
851903_1,5
640061_1,18
735427_1,2
474647_1,6
747735_1,6
658581_1,14
146677_1,2
840326_1,1
67187_1,15
138115_1,2
216787_1,10
340770_1,18
652487_1,9
274461_1,2
85666_1,5
309789_1,5
139335_1,5
840937_1,14
553556_1,5
848611_1,14
758132_1,18
86070_1,14
243106_1,14
569168_1,9
808630_1,14
322466_1,2
104737_1,12
836795_1,18
154612_1,5
657192_1,5
205720_1,5
561292_1,12
789842_1,14
286908_1,5
818861_1,14
565194_1,18
588865_1,21
411886_1,6
531588_1,5
784506_1,6
748552_1,5
763640_1,9
526276_1,14
1842_1,12
763147_1,5
594287_1,6
783134_1,5
607361_1,5
48780_1,14
738971_1,5
234673_1,15
848445_1,12
696356_1,14
72888_1,10
189456_1,6
733532_1,14
353170_1,11
348048_1,5
240618_1,5
667646_1,1
664477_1,14
322060_1,5
212426_1,14
237130_1,12
503310_1,5
361416_1,1
174018_1,14
17692_1,14
181631_1,10
72227_1,10
620715_1,5
526400_1,1
28902_1,6
767884_1,2
722863_1,15
241300_1,11
710854_1,20
62697_1,5
514968_1,14
337328_1,6
106575_1,18
192152_1,6
69041_1,5
55938_1,14
659589_1,6
666635_1,18
817866_1,14
492154_1,1
864250_1,2
78132_1,5
284749_1,9
645488_1,2
26662_1,14
36793_1,5
429698_1,5
450111_1,10
166655_1,10
239463_1,2
714433_1,5
326004_1,2
18124_1,12
460452_1,17
398782_1,15
660214_1,12
51405_1,6
498648_1,9
842031_1,6
179562_1,5
193155_1,5
511677_1,1
720234_1,14
518572_1,14
352360_1,2
489627_1,9
219922_1,10
658945_1,10
257668_1,14
755363_1,10
839859_1,5
46986_1,12
801202_1,5
615357_1,10
742406_1,6
697297_1,6
828526_1,6
707473_1,6
264884_1,6
170068_1,12
4058_1,6
743709_1,5
265186_1,6
638509_1,5
411167_1,17
442935_1,1
212962_1,9
843374_1,4
735108_1,1
791852_1,5
240825_1,17
339061_1,14
